id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
52360274,Rental unit in Boston · ★4.40 · 2 bedrooms · 2 beds · 1 bath,North End,42.36745,-71.05434,Entire home/apt,117,32,5,0.26,339,359,3
52360279,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South End,42.33764,-71.07248,Entire home/apt,101,32,0,,339,365,0
52367950,Boutique hotel in Boston · ★4.76 · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34804,-71.07758,Private room,110,1,17,0.92,7,299,13
52376819,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South Boston,42.3356856,-71.0428472,Entire home/apt,146,32,1,0.09,339,260,1
52382137,Rental unit in Boston · 3 bedrooms · 1 bed · 0 shared baths,Brighton,42.3424,-71.14317,Private room,59,91,0,,146,200,0
52384026,Boutique hotel in Boston · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34782,-71.07748,Private room,115,1,0,,7,283,0
52389631,Rental unit in Dorchester · ★4.87 · 1 bedroom · 1 bed · 1 bath,Dorchester,42.31432105,-71.05916189,Entire home/apt,138,1,45,5.13,2,0,45
52421831,Rental unit in Boston · ★4.83 · 2 bedrooms · 2 beds · 1 bath,Dorchester,42.28766,-71.08116,Entire home/apt,176,29,69,2.56,2,102,22
52421929,Boutique hotel in Boston · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34898,-71.07794,Private room,110,1,2,0.19,7,298,2
52422200,Boutique hotel in Boston · ★4.84 · 1 bedroom · 2 beds · 1 private bath,Back Bay,42.34951,-71.07754,Private room,143,1,19,0.94,7,291,12
52422480,Boutique hotel in Boston · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34748,-71.07794,Private room,125,1,1,0.09,7,299,1
52422690,Boutique hotel in Boston · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34724,-71.07954,Private room,126,1,1,0.1,7,296,1
52422789,Boutique hotel in Boston · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34751,-71.0796,Private room,134,1,0,,7,294,0
52453541,Rental unit in Boston · ★4.73 · 3 bedrooms · 3 beds · 3 baths,Dorchester,42.28958,-71.06748,Entire home/apt,299,2,11,0.57,4,162,6
52468803,Condo in Boston · ★4.98 · 1 bedroom · 1 bed · 1 bath,South End,42.34417,-71.07051,Entire home/apt,174,3,60,2.51,1,47,31
52472133,Rental unit in Boston · ★New · 1 bedroom · 1 bed · 1 bath,Downtown,42.35557,-71.06133,Entire home/apt,176,29,0,,1,363,0
52491654,Rental unit in Boston · ★4.45 · 3 bedrooms · 4 beds · 1 bath,Jamaica Plain,42.31821,-71.11344,Entire home/apt,250,29,49,1.85,2,226,15
52516299,Rental unit in Boston · ★4.87 · 1 bedroom · 2 beds · 1 shared bath,Dorchester,42.32244,-71.05711,Private room,55,1,106,3.94,11,362,41
52537112,Home in Boston · ★4.68 · 2 bedrooms · 3 beds · 1 bath,Roxbury,42.31319611,-71.08703601,Entire home/apt,189,29,28,2.9,1,348,28
52605162,Rental unit in Boston · ★4.65 · 1 bedroom · 1 bed · 1.5 shared baths,Roxbury,42.32781,-71.08983,Private room,62,25,23,0.86,52,201,7
52615785,Rental unit in Boston · ★4.66 · 4 bedrooms · 4 beds · 2 baths,Downtown,42.35567,-71.06129,Entire home/apt,318,3,125,4.72,71,334,49
52615817,Rental unit in Boston · ★4.76 · 4 bedrooms · 4 beds · 2 baths,Downtown,42.35395,-71.06111,Entire home/apt,336,3,139,5.19,71,0,54
52630071,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Dorchester,42.2719604,-71.0677086,Entire home/apt,177,32,0,,339,291,0
52631635,Rental unit in Boston · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,Brighton,42.34876,-71.14663,Private room,195,2,27,1.03,2,358,4
52635273,Rental unit in Boston · ★4.93 · 2 bedrooms · 6 beds · 1 bath,East Boston,42.37737274,-71.03465271,Entire home/apt,144,2,13,4.53,1,0,13
52636956,Rental unit in Boston · Studio · 1 bed · 1 private bath,Dorchester,42.3209,-71.05746,Private room,89,31,2,0.11,5,364,0
52637370,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,North End,42.36841,-71.05425,Entire home/apt,358,3,15,0.68,1,184,6
52653198,Home in  Boston · ★4.97 · 1 bedroom · 1 bed · 1 private bath,West Roxbury,42.27867,-71.15988,Private room,91,7,39,1.46,3,365,18
